Console
File id	$00	12	File id
Level id	$04	17	Level id
Unknown	$08	4	Unknown; always the same
Unknown	$0C	9	Unknown
Unknown	$10	9	Unknown; always the same
Unknown	$14	9	Unknown; always the same
Unknown	$18	9	Unknown
Unknown	$1C	9	Unknown; always the same
Unknown	$20	9	Unknown; always the same
OFGA-link	$24	12	Link to the Object Furn Geom Array
M3GM-link	$28	12	Link to the Geometry
Unknown	$2C	2	Unknown; always the same
Unknown	$2E	2	Unknown; always the same
Unknown	$30	10032	Unknown; always the same
Unknown	$50	10032	Unknown; always the same
Unknown	$70	10032	Unknown; always the same
Not used	$90	1016	Not used
